School,Program,Web,Program Contacts,EDI Page,Social Justice Statement,Seminar Link,Test Requirements,PhD Deadline,Fee Waivers,Demographic Information,Program Diversity Statement,Application Diversity Statement Required,Application Diversity Statement Description
Boston University,Bioinformatics,http://www.bu.edu/bioinformatics/,"tullius@bu.edu,dking@bu.edu",,Homepage,http://www.bu.edu/bioinformatics/seminars/sysbioseminars/,"TOEFL / IELTS / Duolingo English (Australia, Canada, Ireland, New Zealand, United Kingdom or USA degrees exempt)",12/1/20,,,,,
Brown University,CCMB Computational Biology,https://ccmb.brown.edu/academics/graduate,,,,,TOEFL / IELTS /  (degrees from English-speaking countries exempt),1/3/21,US Citizens / Application-based,,,,
Carnegie Mellon University,CPCB,http://www.cbd.cmu.edu/education/phd-in-computational-biology/,"bahar@pitt.edu,murphy@cmu.edu",,,http://www.compbio.cmu.edu/news-and-events/seminar-series-2020-2021/,,,,,,,
Columbia University,DBMI,https://www.dbmi.columbia.edu/phd-in-biomedical-informatics/,noemie.elhadad@columbia.edu,Homepage,,https://www.dbmi.columbia.edu/dbmi-seminar/,GRE and TOEFL / IELTS,,US Citizen or Permanent Resident / Need Based,,,,
Cornell University,Computational Biology & Medicine,https://compbio.triiprograms.org/about-cbm/directors-message/,cbm@triiprograms.org,,,,TOEFL,12/1/20,More information upon request,,,,
Dartmouth College,QBS,https://geiselmed.dartmouth.edu/qbs/,quant.biomed.sci@dartmouth.edu,,,,TOEFL / IELTS,12/1/20,Fee waivers available,,,,
Duke University,Computational Biology and Bioinformatics,https://gradschool.duke.edu/academics/programs-degrees/computational-biology-and-bioinformatics,"cbbdgs@duke.edu,scott.schmidler@duke.edu",,,https://genome.duke.edu/education/cbb/computational-biology-seminar-spring-2020,GRE,12/1/20,,,,,
Duke University,Genetics and Genomics,https://gradschool.duke.edu/academics/programs-degrees/genetics-and-genomics,allison.ashleykoch@duke.edu,,,https://upg.duke.edu/about-us/tuesday-seminar-series,GRE,12/1/20,,,https://upg.duke.edu/about-us/disability-diversity-statement,,
Georgia Tech,Bioinformatics,https://bioinformatics.gatech.edu/,lisa.redding@biosci.gatech.edu,,,,GRE / TOEFL/IELTS for non-native English speakers (waived if they have studied in the US for one academic year),12/1/20,"Federal TRIO program applicants, such as McNair Scholars, are eligible for an application fee waiver. For consideration, you should email a PDF of your current program participation certificate toÃgrad.ask@gatech.eduÃfor guidance on how to obtain this waiver.",,GaTech-wide Statement: https://www.diversity.gatech.edu/institute-commitment-diversity-equity-and-inclusion,,
Harvard University,BIG,http://dms.hms.harvard.edu/BIG/,peter_park@hms.harvard.edu,http://dms.hms.harvard.edu/diversity/index.html,,,TOEFL / IELTS,,,,,,
Indiana University,Bioinformatics,https://informatics.indiana.edu/programs/phd-informatics/bioinformatics.html,vbrendel@indiana.edu,,,,,,,,,,
Iowa State University,BCB,https://www.bcb.iastate.edu/program-overview,idoerg@iastate.edu,,,,,,,,,,
IUPUI,Bioinformatics,https://soic.iupui.edu/biohealth/graduate/bioinformatics/phd/,cassell@iupui.edu,,,,GRE / TOEFL / IELTS,12/15/20,,,,,
Johns Hopkins University,Biostatistics,https://www.jhsph.edu/departments/biostatistics/prospective-students/,,,,https://www.jhsph.edu/departments/biostatistics/about-us/news-and-seminars/seminars/,GRE / TOEFL,12/1/20,"Available, first-come first-served, multiple criteria",,,,
NC State University,Bioinformatics,https://brc.ncsu.edu/genomics/bioinformatics/phd-program,jenni_wilson@ncsu.edu,,,,GRE / TOEFL / IELTS,1/15/21,,,,,
NC State University,Functional Genomics,https://brc.ncsu.edu/genomics/functional-genomics/phd-program,jenni_wilson@ncsu.edu,,,,GRE / TOEFL / IELTS,1/15/21,,,,,
Northwestern,Health and Biomedical Informatics,https://www.feinberg.northwestern.edu/sites/cehs/our-programs/phd-program/about/health-and-biomedical-informatics/index.html,neil-jordan@northwestern.edu,,,https://www.feinberg.northwestern.edu/sites/cehs/seminar-series-and-events/index.html,TOEFL / IELTS,12/1/20,,,,,
NYU,Systems and Computational Medicine,https://med.nyu.edu/research/sackler-institute-graduate-biomedical-sciences/phd-program/phd-training-programs/systems-computational-biomedicine,david.fenyo@nyulangone.org,https://med.nyu.edu/our-community/why-nyu-grossman-school-medicine/diversity-inclusion/,,,TOEFL / IELTS / Duolingo,12/1/20,Fee waivers available,,,,
OHSU,Bioinformatics and Computational Biomedicine,https://www.ohsu.edu/school-of-medicine/medical-informatics-and-clinical-epidemiology/bioinformatics-and-computational-0,"hersh@ohsu.edu,ludwigl@ohsu.edu",,,,,,,,,,
OHSU,Computational Biology,https://www.ohsu.edu/school-of-medicine/biomedical-engineering/graduate-program,"hindsm@ohsu.edu,bmegradstudies@ohsu.edu",,,,TOEFL / IELTS,1/15/21,,,,,
Penn State University,Bioinformatics and Genomics,https://www.huck.psu.edu/graduate-programs/bioinformatics-and-genomics,ghp3@psu.edu,,,http://www.ccbb.psu.edu/seminar/,TOEFL / IELTS,11/15/20,Contact program,,,,
Princeton University,QCB,https://lsi.princeton.edu/qcbgraduate,QCB@princeton.edu,https://lsi.princeton.edu/qcbgraduate/education/diversity,,https://lsi.princeton.edu/archives/seminars/archive,GRE / TOEFL / IELTS,,,,,,
Rice University,SSPB,https://sspb.rice.edu/,sspb@rice.edu,,,https://sspb.rice.edu/events,"GRE, TOEFL / IELTS (international students requiring visas)",,Program participants,,,,
Stanford University,Biomedical Informatics,http://med.stanford.edu/bmi.html,bmi-contact@lists.stanford.edu,http://med.stanford.edu/bmi/prospective-students/diversity-and-inclusion.html,,http://med.stanford.edu/bmi/biomedical-informatics/events.html,"GRE, TOEFL (degree from English-speaking program exempt)",12/1/20,limited number of need-based fee waivers are available,,,,
Temple University,Bioinformatics,http://phdbioinform.cst.temple.edu/,"phdbioinform@temple.edu, robkulathinal@temple.edu",,,,"GRE, TOEFL (degrees from U.S. institutions exempt) ","International 11/15, U.S. 1/5",,,,,
UNC Chapel Hill,BCB,http://bcb.unc.edu/,william.valdar@unc.edu,,,https://bcb.unc.edu/events/,TOEFL,12/3/20,"Upon request, certain criteria",,,,
UNC Charlotte,BCB,https://cci.uncc.edu/academics/bioinformatics/bcb-phd-program,bioinformatics@uncc.edu,https://cci.uncc.edu/about-us/diversity,,,GRE (Unless degree/GPA thresholds met) / TOEFL,1/1/21,,,,,
University of Arkansas Little Rock,Bioinformatics,https://ualr.edu/bioinformatics/,https://ualr.edu/biology/contact,,,,"GRE, TOEFL (degree from English-speaking country exempt)",4/1/20,Program participants (e.g. McNair Scholars),,,,
University of Buffalo,"Genetics, Genomics and Bioinformatics",http://medicine.buffalo.edu/education/ggb.html,"msthomas@buffalo.edu, rgron@buffalo.edu",,,,TOEFL / IELTS (no exemptions listed),12/15/20,,,,,
University of California Berkeley,Computational Biology,https://ccb.berkeley.edu/academics/phd-in-computational-biology/,"epurdom@stat.berkeley.edu,katechase@berkeley.edu",https://ccb.berkeley.edu/academics/diversity/,,https://ccb.berkeley.edu/outreach/seminars-and-symposia/,TOEFL / IELTS,11/30/20,May request,,,,
University of California Irvine,MCSB,https://grad.uci.edu/academics/degree-programs/phd/MathComputationalSystemsBiologyPHD.php,trimal@uci.edu,,,,"GRE, TOEFL/IELTS (degrees from U.S. universities exempt)",12/15/20,US citizens and permanent residents,,,,
University of California Los Angeles,Bioinformatics,https://bioinformatics.ucla.edu/,BioinformaticsPhD@lifesci.ucla.edu,https://bioinformatics.ucla.edu/diversity-and-inclusiveness/,,https://bioinformatics.ucla.edu/seminars/,"TOEFL/IELTS (non-native English speakers, degrees from English-speaking countries exempt)",12/1/20,Available for participants in some programs (e.g. McNair scholars) or need-based for US citizens and permanent residents,,,,
University of California Merced,Quantitative and Systems Biology,https://qsb.ucmerced.edu/,https://qsb.ucmerced.edu/form/contact-us,,,https://qsb.ucmerced.edu/events/seminar-series,TOEFL/IELTS (ÃÂ¢ÃÂÃÂall applicants ÃÂ¢ÃÂÃÂregardless of citizenshipÃÂ¢ÃÂÃÂwhose preparatory education was principally in a language other than EnglishÃÂ¢ÃÂÃÂ),1/15/20,US citizens and permanent residents,,,,
University of California Riverside,"Genetics, Genomics and Bioinformatics",https://ggb.ucr.edu/,ggb@ucr.edu,,,https://ggb.ucr.edu/events/seminars-and-other-events,TOEFL/IELTS (exempt if degree is from institution where English is the exclusive language of instruction),1/5/20,US citizens and permanent residents,,,,
University of California San Diego,Bioinformatics and Systems Biology,https://bioinformatics.ucsd.edu/,bioinfo@ucsd.edu,,,http://genomic.weebly.com/,"GRE, TOEFL/IELTS (exempt if student has studied in English-speaking country for >1 year)",12/9/20,"US citizens and permanent residents, need-based or graduate prep program participation",,,,
University of California San Francisco,Bioinformatics,https://bioinformatics.ucsf.edu/,ryan.hernandez@ucsf.edu,,,https://bioinformatics.ucsf.edu/seminars-events,TOEFL,12/1/20,"Application-based, certain criteria (https://graduate.ucsf.edu/application-fee-waivers)",,,,
University of California Santa Cruz,BME & Bioinformatics,https://www.soe.ucsc.edu/departments/biomolecular-engineering/programs/msphd-bme-bioinformatics,ed@soe.ucsc.edu,,,,TOEFL / IELTS,12/1/20,US Citizen or Permanent Resident / Needs based with supporting documentation,,,,
University of Cincinnati,Bimedical Informatics,https://med2.uc.edu/bmigrad,bmigrad@uc.edu,,,https://www.cincinnatichildrens.org/research/divisions/b/bmi/events,GRE / TOEFL / IELTS,12/1/20,,,,,
